Candidate,dt,vote_intention
André Fernandes,2024-09-03,0.3914924877557327
Capitão Wagner,2024-09-03,0.27606191588460166
Evandro Leitão,2024-09-03,0.2090714497097701
José Sarto,2024-09-03,0.12337414664989554
André Fernandes,2024-09-04,0.4168740021549695
Capitão Wagner,2024-09-04,0.24716118708618945
Evandro Leitão,2024-09-04,0.19636499688174042
José Sarto,2024-09-04,0.13959981387710066
André Fernandes,2024-09-05,0.34380456152249234
Capitão Wagner,2024-09-05,0.29456171868160447
Evandro Leitão,2024-09-05,0.24745144562033627
José Sarto,2024-09-05,0.11418227417556692
André Fernandes,2024-09-06,0.3382788037700835
Capitão Wagner,2024-09-06,0.31761768811670243
Evandro Leitão,2024-09-06,0.19691344129711505
José Sarto,2024-09-06,0.14719006681609906
André Fernandes,2024-09-07,0.303755146195907
Capitão Wagner,2024-09-07,0.30444050853856863
Evandro Leitão,2024-09-07,0.25452101844256897
José Sarto,2024-09-07,0.1372833268229554
André Fernandes,2024-09-08,0.2891266371467115
Capitão Wagner,2024-09-08,0.34983441398209836
Evandro Leitão,2024-09-08,0.19640084781826933
José Sarto,2024-09-08,0.16463810105292082
André Fernandes,2024-09-09,0.26632656530712856
Capitão Wagner,2024-09-09,0.3459343562163251
Evandro Leitão,2024-09-09,0.282669516946022
José Sarto,2024-09-09,0.10506956153052434
André Fernandes,2024-09-10,0.31274160818850555
Capitão Wagner,2024-09-10,0.3417350237966261
Evandro Leitão,2024-09-10,0.21298916399255624
José Sarto,2024-09-10,0.13253420402231209
André Fernandes,2024-09-11,0.36376001992532686
Capitão Wagner,2024-09-11,0.28296253672847865
Evandro Leitão,2024-09-11,0.24666461638147127
José Sarto,2024-09-11,0.10661282696472321
André Fernandes,2024-09-12,0.2689556860861062
Capitão Wagner,2024-09-12,0.3961316819539234
Evandro Leitão,2024-09-12,0.245534339609751
José Sarto,2024-09-12,0.08937829235021941
André Fernandes,2024-09-13,0.3221696109388952
Capitão Wagner,2024-09-13,0.325216372214657
Evandro Leitão,2024-09-13,0.28492970764167225
José Sarto,2024-09-13,0.06768430920477551
André Fernandes,2024-09-14,0.3068497083913631
Capitão Wagner,2024-09-14,0.3042711310716818
Evandro Leitão,2024-09-14,0.2764929861498884
José Sarto,2024-09-14,0.11238617438706675
André Fernandes,2024-09-15,0.28921170226340054
Capitão Wagner,2024-09-15,0.3069657883072386
Evandro Leitão,2024-09-15,0.3026741873511825
José Sarto,2024-09-15,0.10114832207817845
André Fernandes,2024-09-16,0.2829194749240096
Capitão Wagner,2024-09-16,0.2785008722951988
Evandro Leitão,2024-09-16,0.33864492414769765
José Sarto,2024-09-16,0.09993472863309397
André Fernandes,2024-09-17,0.30482067397765694
Capitão Wagner,2024-09-17,0.22395987954957247
Evandro Leitão,2024-09-17,0.3822976164587423
José Sarto,2024-09-17,0.08892183001402834
André Fernandes,2024-09-18,0.3542503190905662
Capitão Wagner,2024-09-18,0.23920754455482482
Evandro Leitão,2024-09-18,0.3309339758345424
José Sarto,2024-09-18,0.07560816052006655
André Fernandes,2024-09-19,0.39977780737007923
Capitão Wagner,2024-09-19,0.2837619263693744
Evandro Leitão,2024-09-19,0.19205757556039812
José Sarto,2024-09-19,0.1244026907001482
André Fernandes,2024-09-20,0.3503130683254235
Capitão Wagner,2024-09-20,0.23902330545202344
Evandro Leitão,2024-09-20,0.24920136834338463
José Sarto,2024-09-20,0.1614622578791684
André Fernandes,2024-09-21,0.3612155315189464
Capitão Wagner,2024-09-21,0.28495558668686194
Evandro Leitão,2024-09-21,0.25328125543873636
José Sarto,2024-09-21,0.1005476263554553
André Fernandes,2024-09-22,0.3596944601084764
Capitão Wagner,2024-09-22,0.24788705050374876
Evandro Leitão,2024-09-22,0.2644843127116182
José Sarto,2024-09-22,0.12793417667615667
André Fernandes,2024-09-23,0.32134591404381674
Capitão Wagner,2024-09-23,0.27951908022515704
Evandro Leitão,2024-09-23,0.2276768329767344
José Sarto,2024-09-23,0.17145817275429182
André Fernandes,2024-09-24,0.37606543384884245
Capitão Wagner,2024-09-24,0.24361090943586028
Evandro Leitão,2024-09-24,0.21025148840465166
José Sarto,2024-09-24,0.1700721683106456
André Fernandes,2024-09-25,0.34892171453445064
Capitão Wagner,2024-09-25,0.2415580033793554
Evandro Leitão,2024-09-25,0.2531158280507344
José Sarto,2024-09-25,0.15640445403545952
André Fernandes,2024-09-26,0.41355993569080585
Capitão Wagner,2024-09-26,0.19282789310377713
Evandro Leitão,2024-09-26,0.2304503506296034
José Sarto,2024-09-26,0.16316182057581358
André Fernandes,2024-09-27,0.367891883899245
Capitão Wagner,2024-09-27,0.1917563754304509
Evandro Leitão,2024-09-27,0.2887948940919852
José Sarto,2024-09-27,0.1515568465783189
André Fernandes,2024-09-28,0.356455144165981
Capitão Wagner,2024-09-28,0.11910484700199446
Evandro Leitão,2024-09-28,0.2870767607269392
José Sarto,2024-09-28,0.2373632481050854
André Fernandes,2024-09-29,0.3731331370243822
Capitão Wagner,2024-09-29,0.18154917435265688
Evandro Leitão,2024-09-29,0.2674043930896077
José Sarto,2024-09-29,0.17791329553335322
André Fernandes,2024-09-30,0.38504803877177185
Capitão Wagner,2024-09-30,0.19213061850111615
Evandro Leitão,2024-09-30,0.30902289043691583
José Sarto,2024-09-30,0.11379845229019618
André Fernandes,2024-10-01,0.37851486698013215
Capitão Wagner,2024-10-01,0.12349656275189416
Evandro Leitão,2024-10-01,0.32209593748286147
José Sarto,2024-10-01,0.17589263278511225
André Fernandes,2024-10-02,0.35754832073983733
Capitão Wagner,2024-10-02,0.1337668766506624
Evandro Leitão,2024-10-02,0.34330401765299773
José Sarto,2024-10-02,0.16538078495650257
André Fernandes,2024-10-03,0.32799069572046696
Capitão Wagner,2024-10-03,0.13352948980160712
Evandro Leitão,2024-10-03,0.33569105659528947
José Sarto,2024-10-03,0.20278875788263645
